timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658377177.906469,152.0,505.0,80.0,817.0,579.0,936.0
1658377178.0063741,152.0,514.0,79.0,796.0,545.0,936.0
1658377178.1063092,149.0,523.0,80.0,773.0,512.0,936.0
1658377178.2063432,144.0,534.0,79.0,749.0,482.0,936.0
1658377178.3065097,139.0,544.0,78.0,726.0,452.0,936.0
1658377178.4065185,137.0,554.0,78.0,704.0,420.0,936.0
1658377178.506512,132.0,566.0,76.0,679.0,387.0,937.0
1658377178.6065538,132.0,575.0,76.0,656.0,355.0,936.0
1658377178.7065542,132.0,583.0,76.0,632.0,323.0,937.0
1658377178.8063362,124.0,592.0,75.0,614.0,299.0,936.0
1658377178.9063451,121.0,594.0,74.0,612.0,297.0,937.0
1658377179.006387,121.0,596.0,74.0,611.0,297.0,937.0
1658377179.1062877,121.0,596.0,75.0,611.0,297.0,937.0
1658377179.2063506,116.0,596.0,75.0,611.0,297.0,937.0
1658377179.3063438,116.0,596.0,74.0,611.0,297.0,937.0
1658377179.4063585,116.0,596.0,74.0,611.0,297.0,937.0
1658377179.5063636,116.0,596.0,74.0,611.0,297.0,937.0
1658377179.6066735,116.0,595.0,74.0,611.0,297.0,937.0
1658377179.7065122,116.0,595.0,74.0,611.0,297.0,937.0
1658377179.8066182,116.0,596.0,74.0,611.0,297.0,937.0
1658377179.906567,118.0,596.0,75.0,611.0,297.0,937.0
1658377180.0063906,139.0,596.0,76.0,611.0,300.0,937.0
1658377180.1063302,176.0,596.0,78.0,611.0,297.0,937.0
1658377180.206349,208.0,596.0,81.0,611.0,297.0,937.0
1658377180.3063946,234.0,596.0,84.0,610.0,298.0,937.0
1658377180.4063501,265.0,596.0,86.0,609.0,299.0,937.0
1658377180.5063176,295.0,595.0,89.0,609.0,300.0,937.0
1658377180.6063979,328.0,595.0,90.0,608.0,302.0,937.0
1658377180.7064083,361.0,594.0,96.0,608.0,304.0,937.0
1658377180.8063385,387.0,594.0,96.0,608.0,305.0,938.0
1658377180.9063604,404.0,594.0,100.0,606.0,305.0,938.0
1658377181.0063896,408.0,595.0,100.0,606.0,305.0,938.0
1658377181.1063216,408.0,595.0,100.0,606.0,304.0,938.0
1658377181.2063313,408.0,594.0,100.0,606.0,304.0,938.0
1658377181.3063426,409.0,594.0,100.0,606.0,305.0,938.0
1658377181.4063559,415.0,594.0,100.0,606.0,302.0,938.0
1658377181.5063584,415.0,595.0,100.0,606.0,304.0,938.0
1658377181.6064343,415.0,594.0,100.0,606.0,304.0,938.0
1658377181.706336,415.0,594.0,100.0,606.0,304.0,938.0
1658377181.8063421,415.0,594.0,100.0,607.0,304.0,938.0
1658377181.9062636,417.0,592.0,100.0,607.0,306.0,907.0
1658377182.0063505,420.0,582.0,95.0,602.0,322.0,862.0
1658377182.1063328,420.0,573.0,100.0,597.0,336.0,808.0
1658377182.2064629,420.0,566.0,100.0,590.0,352.0,764.0
1658377182.3064003,420.0,555.0,100.0,585.0,368.0,721.0
1658377182.406331,420.0,546.0,100.0,578.0,385.0,678.0
1658377182.5063803,420.0,537.0,100.0,574.0,402.0,626.0
1658377182.6063223,420.0,528.0,100.0,567.0,417.0,586.0
1658377182.706384,420.0,521.0,100.0,560.0,432.0,542.0
1658377182.8064034,420.0,511.0,100.0,555.0,449.0,498.0
1658377182.9063342,420.0,506.0,100.0,552.0,453.0,486.0
1658377183.0062976,420.0,506.0,100.0,552.0,454.0,486.0
1658377183.1062884,420.0,506.0,100.0,552.0,454.0,486.0
1658377183.2063572,420.0,507.0,100.0,552.0,454.0,486.0
1658377183.30649,420.0,506.0,100.0,552.0,458.0,486.0
1658377183.4063413,420.0,506.0,100.0,552.0,457.0,486.0
1658377183.506373,420.0,506.0,95.0,552.0,457.0,486.0
1658377183.6064868,420.0,506.0,104.0,552.0,457.0,486.0
